client_id,client_name,industry
366,Client_366,Retail
367,Client_367,Banking
368,Client_368,Banking
369,Client_369,Retail
370,Client_370,Manufacturing
371,Client_371,Manufacturing
372,Client_372,Banking
373,Client_373,Ecommerce
374,Client_374,Healthcare
375,Client_375,Banking
376,Client_376,Manufacturing
377,Client_377,Retail
378,Client_378,Healthcare
379,Client_379,Manufacturing
380,Client_380,Healthcare
381,Client_381,Ecommerce
382,Client_382,Ecommerce
383,Client_383,Healthcare
384,Client_384,Retail
385,Client_385,Retail
386,Client_386,Banking
387,Client_387,Manufacturing
388,Client_388,Ecommerce
389,Client_389,Healthcare
390,Client_390,Banking
391,Client_391,Healthcare
392,Client_392,Retail
393,Client_393,Healthcare
394,Client_394,Retail
395,Client_395,Retail
396,Client_396,Healthcare
397,Client_397,Banking
398,Client_398,Ecommerce
399,Client_399,Manufacturing
400,Client_400,Healthcare
401,Client_401,Manufacturing
402,Client_402,Banking
403,Client_403,Healthcare
404,Client_404,Retail
405,Client_405,Retail
406,Client_406,Healthcare
407,Client_407,Banking
408,Client_408,Banking
409,Client_409,Healthcare
410,Client_410,Banking
411,Client_411,Banking
412,Client_412,Ecommerce
413,Client_413,Banking
414,Client_414,Banking
415,Client_415,Healthcare
416,Client_416,Banking
417,Client_417,Healthcare
418,Client_418,Ecommerce
419,Client_419,Healthcare
420,Client_420,Ecommerce
421,Client_421,Manufacturing
422,Client_422,Banking
423,Client_423,Manufacturing
424,Client_424,Healthcare
425,Client_425,Retail
426,Client_426,Ecommerce
427,Client_427,Banking
428,Client_428,Banking
429,Client_429,Ecommerce
430,Client_430,Banking
431,Client_431,Manufacturing
432,Client_432,Manufacturing
433,Client_433,Ecommerce
434,Client_434,Manufacturing
435,Client_435,Healthcare
436,Client_436,Banking
437,Client_437,Manufacturing
438,Client_438,Manufacturing
439,Client_439,Banking
440,Client_440,Retail
441,Client_441,Ecommerce
442,Client_442,Manufacturing
443,Client_443,Banking
444,Client_444,Manufacturing
445,Client_445,Retail
446,Client_446,Ecommerce
447,Client_447,Retail
448,Client_448,Retail
449,Client_449,Healthcare
450,Client_450,Healthcare
451,Client_451,Manufacturing
452,Client_452,Manufacturing
453,Client_453,Ecommerce
454,Client_454,Retail
455,Client_455,Retail
456,Client_456,Manufacturing
457,Client_457,Banking
458,Client_458,Manufacturing
459,Client_459,Ecommerce
460,Client_460,Healthcare
461,Client_461,Ecommerce
462,Client_462,Healthcare
463,Client_463,Healthcare
464,Client_464,Manufacturing
465,Client_465,Retail
466,Client_466,Banking
467,Client_467,Ecommerce
468,Client_468,Retail
469,Client_469,Retail
470,Client_470,Manufacturing
471,Client_471,Retail
472,Client_472,Manufacturing
473,Client_473,Manufacturing
474,Client_474,Retail
475,Client_475,Manufacturing
476,Client_476,Retail
477,Client_477,Ecommerce
478,Client_478,Banking
479,Client_479,Manufacturing
480,Client_480,Ecommerce
481,Client_481,Retail
482,Client_482,Retail
483,Client_483,Healthcare
484,Client_484,Banking
485,Client_485,Healthcare
486,Client_486,Retail
487,Client_487,Ecommerce
488,Client_488,Retail
489,Client_489,Manufacturing
490,Client_490,Manufacturing
491,Client_491,Retail
492,Client_492,Manufacturing
493,Client_493,Retail
494,Client_494,Ecommerce
495,Client_495,Banking
496,Client_496,Manufacturing
497,Client_497,Ecommerce
498,Client_498,Manufacturing
499,Client_499,Banking
500,Client_500,Retail
